Support      Material      Elastic Modulus(GPa)    Yield Stress(MPa)   shape    Safety factor
  4         aluminium          7.2e+10               4.1e+08             4           1
  3      T6_aluminium         7.31e+10              4.14e+08             1           1
  4              wood          1.2e+10               5.5e+07             3           1
  3             steel            2e+11               3.6e+08             3         1.4
  4              iron            1e+11                 5e+07             4           2
  2            copper         1.19e+11               6.2e+07             4         1.5
  2             steel            2e+11               3.6e+08             1           3
  4              iron            1e+11                 5e+07             2         1.5
  2         aluminium          7.2e+10               4.1e+08             3           2
  3              wood               12                    55             3           2
