Buckling load (kN)    Critical Stress(MPa)    Yielding Load (kN)    Maximum load (kN)    Maximum stress (Mpa)    Deflection (mm)
    3488.206                  111.033            3200.309             3200.309               101.869                   70.563
    1841.161                  230.145            1129.752             1129.752               141.219                   76.162
      61.685                    6.169              31.380               31.380                 3.138                  155.635
   42969.706                  537.121           10975.079             7839.342                97.992                   11.807
   47311.824                  240.957            2413.539             1206.769                 6.146                    9.694
  116745.899                 1651.617             485.156              323.437                 4.576                    1.028
 1579838.543                23936.948            6519.116             2173.039                32.925                    0.153
    5402.685                   49.115            2481.364             1654.242                15.039                   28.142
   11843.525                  148.044            1954.408              977.204                12.215                   13.000
   85939.412                  358.081            3543.628             1771.814                 7.383                    4.565
